Date,Value
11/7/2016 16:00:00,59.78
11/8/2016 16:00:00,60.55
11/9/2016 16:00:00,60.0
11/10/2016 16:00:00,60.48
11/11/2016 16:00:00,58.23
11/14/2016 16:00:00,59.02
11/15/2016 16:00:00,58.33
11/16/2016 16:00:00,58.94
11/17/2016 16:00:00,60.41
11/18/2016 16:00:00,60.78
11/21/2016 16:00:00,60.5
11/22/2016 16:00:00,60.98
11/23/2016 16:00:00,61.01
11/25/2016 16:00:00,60.3
11/28/2016 16:00:00,60.34
11/29/2016 16:00:00,60.65
11/30/2016 16:00:00,60.86
12/1/2016 16:00:00,60.11
12/2/2016 16:00:00,59.08
12/5/2016 16:00:00,59.7
12/6/2016 16:00:00,60.43
12/7/2016 16:00:00,60.01
12/8/2016 16:00:00,61.3
12/9/2016 16:00:00,61.18
12/12/2016 16:00:00,61.82
12/13/2016 16:00:00,62.5
12/14/2016 16:00:00,63.0
12/15/2016 16:00:00,62.7
12/16/2016 16:00:00,62.95
12/19/2016 16:00:00,62.56
12/20/2016 16:00:00,63.69
12/21/2016 16:00:00,63.43
12/22/2016 16:00:00,63.84
12/23/2016 16:00:00,63.45
12/27/2016 16:00:00,63.21
12/28/2016 16:00:00,63.4
12/29/2016 16:00:00,62.86
12/30/2016 16:00:00,62.96
1/3/2017 16:00:00,62.79
1/4/2017 16:00:00,62.48
1/5/2017 16:00:00,62.19
1/6/2017 16:00:00,62.3
1/9/2017 16:00:00,62.76
1/10/2017 16:00:00,62.73
1/11/2017 16:00:00,62.61
1/12/2017 16:00:00,63.06
1/13/2017 16:00:00,62.62
1/17/2017 16:00:00,62.68
1/18/2017 16:00:00,62.67
1/19/2017 16:00:00,62.24
1/20/2017 16:00:00,62.67
1/23/2017 16:00:00,62.7
1/24/2017 16:00:00,63.2
1/25/2017 16:00:00,63.95
1/26/2017 16:00:00,64.12
1/27/2017 16:00:00,65.39
1/30/2017 16:00:00,65.69
1/31/2017 16:00:00,64.86
2/1/2017 16:00:00,64.36
2/2/2017 16:00:00,63.25
2/3/2017 16:00:00,63.5
2/6/2017 16:00:00,63.5
2/7/2017 16:00:00,63.74
2/8/2017 16:00:00,63.57
2/9/2017 16:00:00,63.52
2/10/2017 16:00:00,64.25
2/13/2017 16:00:00,64.24
2/14/2017 16:00:00,64.41
2/15/2017 16:00:00,64.5
2/16/2017 16:00:00,64.74
2/17/2017 16:00:00,64.47
2/21/2017 16:00:00,64.61
2/22/2017 16:00:00,64.33
2/23/2017 16:00:00,64.42
2/24/2017 16:00:00,64.53
2/27/2017 16:00:00,64.54
2/28/2017 16:00:00,64.08
3/1/2017 16:00:00,64.13
3/2/2017 16:00:00,64.69
3/3/2017 16:00:00,63.99
3/6/2017 16:00:00,63.97
3/7/2017 16:00:00,64.19
3/8/2017 16:00:00,64.26
3/9/2017 16:00:00,65.19
3/10/2017 16:00:00,65.11
3/13/2017 16:00:00,65.14
3/14/2017 16:00:00,64.53
3/15/2017 16:00:00,64.55
3/16/2017 16:00:00,64.75
3/17/2017 16:00:00,64.91
3/20/2017 16:00:00,64.91
3/21/2017 16:00:00,65.19
3/22/2017 16:00:00,64.12
3/23/2017 16:00:00,64.94
3/24/2017 16:00:00,65.12
3/27/2017 16:00:00,64.63
3/28/2017 16:00:00,64.96
3/29/2017 16:00:00,65.12
3/30/2017 16:00:00,65.42
3/31/2017 16:00:00,65.65
4/3/2017 16:00:00,65.81
4/4/2017 16:00:00,65.39
4/5/2017 16:00:00,66.3
4/6/2017 16:00:00,65.6
4/7/2017 16:00:00,65.85
4/10/2017 16:00:00,65.61
4/11/2017 16:00:00,65.6
4/12/2017 16:00:00,65.42
4/13/2017 16:00:00,65.29
4/17/2017 16:00:00,65.04
4/18/2017 16:00:00,65.33
4/19/2017 16:00:00,65.65
4/20/2017 16:00:00,65.46
4/21/2017 16:00:00,65.67
4/24/2017 16:00:00,67.48
4/25/2017 16:00:00,67.9
4/26/2017 16:00:00,68.08
4/27/2017 16:00:00,68.15
4/28/2017 16:00:00,68.91
5/1/2017 16:00:00,68.68
5/2/2017 16:00:00,69.71
5/3/2017 16:00:00,69.38
5/4/2017 16:00:00,69.03
5/5/2017 16:00:00,68.9
5/8/2017 16:00:00,68.97
5/9/2017 16:00:00,68.86
5/10/2017 16:00:00,68.99
5/11/2017 16:00:00,68.36
5/12/2017 16:00:00,68.61
5/15/2017 16:00:00,68.14
5/16/2017 16:00:00,68.23
5/17/2017 16:00:00,68.89
5/18/2017 16:00:00,67.4
5/19/2017 16:00:00,67.5
5/22/2017 16:00:00,67.89
5/23/2017 16:00:00,68.72
5/24/2017 16:00:00,68.87
5/25/2017 16:00:00,68.97
5/26/2017 16:00:00,69.8
5/30/2017 16:00:00,69.79
5/31/2017 16:00:00,70.53
6/1/2017 16:00:00,70.24
6/2/2017 16:00:00,70.44
6/5/2017 16:00:00,71.97
6/6/2017 16:00:00,72.3
6/7/2017 16:00:00,72.64
6/8/2017 16:00:00,72.51
6/9/2017 16:00:00,72.04
6/12/2017 16:00:00,69.25
6/13/2017 16:00:00,70.02
6/14/2017 16:00:00,70.91
6/15/2017 16:00:00,69.27
6/16/2017 16:00:00,69.73
6/19/2017 16:00:00,70.5
6/20/2017 16:00:00,70.82
6/21/2017 16:00:00,70.21
6/22/2017 16:00:00,70.54
6/23/2017 16:00:00,70.09
6/26/2017 16:00:00,71.4
6/27/2017 16:00:00,70.11
6/28/2017 16:00:00,69.21
6/29/2017 16:00:00,69.38
6/30/2017 16:00:00,68.78
7/3/2017 16:00:00,69.33
7/5/2017 16:00:00,68.26
7/6/2017 16:00:00,68.27
7/7/2017 16:00:00,68.7
7/10/2017 16:00:00,69.46
7/11/2017 16:00:00,70.0
7/12/2017 16:00:00,70.69
7/13/2017 16:00:00,71.5
7/14/2017 16:00:00,72.24
7/17/2017 16:00:00,72.8
7/18/2017 16:00:00,73.09
7/19/2017 16:00:00,73.5
7/20/2017 16:00:00,74.18
7/21/2017 16:00:00,73.45
7/24/2017 16:00:00,73.53
7/25/2017 16:00:00,73.8
7/26/2017 16:00:00,74.34
7/27/2017 16:00:00,73.76
7/28/2017 16:00:00,72.67
7/31/2017 16:00:00,73.3
8/1/2017 16:00:00,73.1
8/2/2017 16:00:00,72.55
8/3/2017 16:00:00,72.19
8/4/2017 16:00:00,72.4
8/7/2017 16:00:00,72.8
8/8/2017 16:00:00,72.09
8/9/2017 16:00:00,72.25
8/10/2017 16:00:00,71.9
8/11/2017 16:00:00,71.61
8/14/2017 16:00:00,73.06
8/15/2017 16:00:00,73.59
8/16/2017 16:00:00,73.34
8/17/2017 16:00:00,73.58
8/18/2017 16:00:00,72.27
8/21/2017 16:00:00,72.47
8/22/2017 16:00:00,72.35
8/23/2017 16:00:00,72.96
8/24/2017 16:00:00,72.74
8/25/2017 16:00:00,72.86
8/28/2017 16:00:00,73.06
8/29/2017 16:00:00,72.25
8/30/2017 16:00:00,73.01
8/31/2017 16:00:00,74.03
9/1/2017 16:00:00,74.71
9/5/2017 16:00:00,73.34
9/6/2017 16:00:00,73.74
9/7/2017 16:00:00,73.68
9/8/2017 16:00:00,74.33
9/11/2017 16:00:00,74.31
9/12/2017 16:00:00,74.76
9/13/2017 16:00:00,74.93
9/14/2017 16:00:00,75.0
9/15/2017 16:00:00,74.83
9/18/2017 16:00:00,75.23
9/19/2017 16:00:00,75.21
9/20/2017 16:00:00,75.35
9/21/2017 16:00:00,75.11
9/22/2017 16:00:00,73.99
9/25/2017 16:00:00,74.09
9/26/2017 16:00:00,73.67
9/27/2017 16:00:00,73.55
9/28/2017 16:00:00,73.54
9/29/2017 16:00:00,73.94
10/2/2017 16:00:00,74.71
10/3/2017 16:00:00,74.67
10/4/2017 16:00:00,74.0
10/5/2017 16:00:00,75.22
10/6/2017 16:00:00,75.67
10/9/2017 16:00:00,75.97
10/10/2017 16:00:00,76.33
10/11/2017 16:00:00,76.36
10/12/2017 16:00:00,76.49
